barcount,date,open,high,low,close,volume,higherclose,reversal,trendsequence,adl,adx,adxr,apz_lower,apz_upper,aroonoscillator,atr,bollinger_lower,bollinger_middle,bollinger_upper,bop,camarilla_r1,camarilla_r2,camarilla_r3,camarilla_r4,camarilla_s1,camarilla_s2,camarilla_s3,camarilla_s4,cci,chaikinmoneyflow,chaikinoscillator,chaikinvolatility,choppinessindex,cmo,currentday_open,currentday_low,currentday_high,disparityindex,dm_diplus,dm_diminus,dmi,dmindex,donchian_lower,donchian_mean,donchian_upper,doublestochastics_k,easeofmovement,fibonacci_pp,fibonacci_r1,fibonacci_r2,fibonacci_r3,fibonacci_s1,fibonacci_s2,fibonacci_s3,fisherstransform,fosc,kama,keltner_lower,keltner_mean,keltner_upper,linreg,linregintercept,linregslope,macd,macd_avg,macd_diff,mama_default,mama_kama,mfi,momentum,moneyflowoscillator,orderflowcumulativedelta_deltaopen,orderflowcumulativedelta_deltaclose,orderflowcumulativedelta_deltahigh,orderflowcumulativedelta_deltalow,orderflowvwap_vwap,orderflowvwap_s1_lower,orderflowvwap_s1_higher,orderflowvwap_s2_lower,orderflowvwap_s2_higher,orderflowvwap_s3_lower,orderflowvwap_s3_higher,parabolic_sar,pfe,ppo,priceoscillator,psychologicalline,rsquared,relativevigorindex,rind,roc,rsi,rsi_avg,rss,rvi,stddev,stochrsi,stochastics_d,stochastics_k,stochasticsfast_d,stochasticsfast_k,trix,trix_signal,tsf,tsi,ultimateoscillator,vortex_viplus,vortex_viminus,volma,volume_oscillator,vroc,williamsr,wisemanawesomeoscillator,woodiescci,woodiescci_turbo,woodiespivot_pp,woodiespivot_r1,woodiespivot_r2,woodiespivot_s1,woodiespivot_s2
559,8/4/2023 10:16,15833,15840.5,15833,15840.5,1291,TRUE,TRUE,1,42193,25,32,-0.104,0.086,50,9.6,-0.243,0.169,0.169,0.143,0.206,0.323,0.44,0.791,-0.029,-0.146,-0.263,-0.615,19,-17,616,0,29,18,0.047,-0.237,0.947,-0.036,34,44,0,46,-0.237,-0.047,0.142,20,-10,0.076,0.564,0.866,1.354,-0.413,-0.714,-1.203,0,-0.06,-0.008,-0.06,0.011,0.082,0.055,-0.13,2.3,-8.4,-11.7,3.3,0.029,0.054,68,22,-0.05,0,252,252,-26,0.382,0.106,0.658,-0.169,0.934,-0.445,1.209,0.137,0.01,-0.074,-11.7,60,0.53,0.3,15,0.14,47,45,86,40,16.3,0.73,73,50,50,62,-0.0105,-0.0116,0.098,-5,48,0.9,0.7,1897,-378,-35,-38,-10.9,19,-35,0.058,0.687,1.337,-0.592,-1.22
560,8/4/2023 10:16,15840.5,15848,15840.5,15848,1047,TRUE,FALSE,2,43240,23,31,-0.145,0.044,50,9.4,-0.259,0.124,0.124,0.286,0.158,0.275,0.392,0.744,-0.076,-0.193,-0.31,-0.662,51,-3,881,0,29,29,0,-0.284,0.899,0.01,38,41,0,48,-0.284,-0.095,0.095,20,1,0.028,0.517,0.818,1.306,-0.46,-0.761,-1.249,0,-0.01,-0.054,-0.098,-0.027,0.044,0.008,-0.143,1.8,-7,-10.8,3.7,-0.018,0.006,75,38,0.09,0,132,146,0,0.333,0.058,0.609,-0.218,0.885,-0.494,1.161,0.085,0.07,-0.068,-10.8,60,0.34,0.23,12,0.24,50,47,85,43,15.2,0.84,70,58,58,75,-0.0095,-0.0106,0.043,4,50,1.1,0.6,1783,-384,-20,-25,-10.6,51,58,0.011,0.639,1.289,-0.639,-1.267
561,8/4/2023 10:17,15848,15855.5,15848,15855.5,1516,TRUE,FALSE,3,44756,22,30,-0.174,0.015,50,9.3,-0.249,0.067,0.067,0.429,0.111,0.228,0.345,0.696,-0.123,-0.24,-0.358,-0.709,85,12,1391,0,34,41,-0.047,-0.331,0.851,0.053,42,39,0,55,-0.284,-0.118,0.047,33,8,-0.019,0.469,0.77,1.258,-0.507,-0.808,-1.296,0.1,0.04,-0.099,-0.136,-0.065,0.006,-0.041,-0.142,1.2,-5.3,-9.7,4.4,-0.045,-0.042,78,52,0.15,0,203,203,-6,0.285,0.009,0.56,-0.267,0.836,-0.543,1.112,0.033,0.13,-0.061,-9.7,60,0.02,0.2,10,0.33,53,50,85,46,12.5,0.93,67,74,74,86,-0.0083,-0.0094,-0.017,13,52,1.2,0.5,1748,-452,-9,-14,-7.8,85,125,-0.036,0.591,1.241,-0.686,-1.313
562,8/4/2023 10:19,15855.5,15863,15855.5,15863,2629,TRUE,FALSE,4,47385,21,28,-0.195,-0.006,43,9.2,-0.269,0.032,0.032,0.429,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,122,20,2310,0,37,38,-0.095,-0.378,0.804,0.093,45,37,0,61,-0.284,-0.142,0,54,10,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,0.5,0.07,-0.142,-0.173,-0.102,-0.032,-0.073,-0.163,1.1,-3.3,-8.4,5.1,-0.088,-0.089,78,45,0.27,0,225,227,-97,0.235,-0.041,0.511,-0.316,0.786,-0.592,1.062,-0.236,0.18,-0.053,-8.4,60,0.34,0.2,8,0.28,56,53,86,49,11.9,1,66,87,87,100,-0.007,-0.0082,-0.052,22,62,1.2,0.5,1865,-523,0,0,-2.4,122,119,-0.084,0.544,1.193,-0.733,-1.36
563,8/4/2023 10:19,15863,15870.5,15863,15870.5,670,TRUE,FALSE,5,48055,21,27,-0.209,-0.02,100,9,-0.303,0.012,0.012,0.429,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,150,28,2689,0,37,38,-0.142,-0.425,0.756,0.129,48,34,0,59,-0.284,-0.142,0,72,24,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,1,0.09,-0.184,-0.211,-0.14,-0.069,-0.095,-0.196,1.2,-1,-6.9,5.9,-0.13,-0.136,76,45,0.39,0,201,202,0,0.187,-0.088,0.463,-0.363,0.738,-0.639,1.013,-0.279,0.22,-0.044,-6.9,60,0.77,0.2,7,0.28,58,56,89,52,12.5,1,68,95,95,100,-0.0055,-0.0068,-0.071,30,70,1.2,0.5,1706,-528,-41,0,5.5,150,110,-0.131,0.496,1.145,-0.78,-1.407
564,8/4/2023 10:20,15870.5,15878,15870.5,15878,2934,TRUE,FALSE,6,50989,21,26,-0.218,-0.029,100,8.9,-0.349,0.005,0.005,0.429,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,164,43,3533,0,31,38,-0.189,-0.472,0.709,0.163,52,32,0,62,-0.331,-0.165,0,86,23,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,1.5,0.11,-0.225,-0.249,-0.178,-0.107,-0.105,-0.239,1.6,1.3,-5.3,6.6,-0.17,-0.183,77,45,0.4,0,139,164,0,0.139,-0.136,0.413,-0.41,0.687,-0.684,0.961,-0.315,0.25,-0.033,-5.3,60,0.95,0.2,6,0.28,61,58,92,56,14.1,1,74,100,100,100,-0.0038,-0.0053,-0.074,38,77,1.2,0.5,1870,-386,28,0,13,164,111,-0.178,0.449,1.097,-0.827,-1.453
565,8/4/2023 10:21,15870.5,15870.5,15863,15863,1749,FALSE,TRUE,1,49240,20,25,-0.106,0.084,43,9.4,-0.245,0.11,0.11,0.286,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,87,34,3001,0,34,18,-0.095,-0.378,0.804,0.063,46,34,0,52,-0.236,-0.071,0.095,83,13,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,1.5,0,-0.127,-0.145,-0.074,-0.003,0,-0.135,1.6,2,-3.8,5.8,-0.026,-0.073,70,22,0.44,0,20,264,0,0.232,-0.042,0.506,-0.317,0.781,-0.591,1.055,-0.202,0.24,-0.024,-3.8,60,0.81,0.2,23,0.14,54,56,94,51,14.1,0.66,79,90,90,71,-0.0023,-0.0038,0.031,26,69,1.1,0.6,1854,-210,38,-29,18,87,33,-0.084,0.544,1.193,-0.733,-1.36
566,8/4/2023 10:21,15863,15863,15855.5,15855.5,369,FALSE,FALSE,2,48871,19,23,-0.057,0.132,43,9.2,-0.194,0.16,0.16,0.143,0.111,0.228,0.345,0.696,-0.123,-0.24,-0.358,-0.709,35,43,2393,0,34,6,-0.047,-0.331,0.851,0.014,43,38,0,50,-0.189,-0.024,0.142,69,-17,-0.019,0.469,0.77,1.258,-0.507,-0.808,-1.296,1.3,-0.05,-0.078,-0.088,-0.017,0.054,0.049,-0.082,1.6,1.8,-2.7,4.5,0.022,-0.025,68,8,0.52,0,-190,2,-190,0.279,0.005,0.554,-0.27,0.828,-0.544,1.102,-0.137,0.22,-0.017,-2.7,60,0.38,0.2,27,0.05,51,53,95,47,14.1,0.51,83,76,76,57,-0.0012,-0.0025,0.079,14,58,0.9,0.7,1656,-393,37,-43,20.3,35,-58,-0.036,0.591,1.241,-0.686,-1.313
567,8/4/2023 10:22,15855.5,15855.5,15848,15848,1708,FALSE,FALSE,3,47163,18,22,-0.023,0.166,43,9.1,-0.151,0.205,0.205,0,0.158,0.275,0.392,0.744,-0.076,-0.193,-0.31,-0.662,-11,45,1383,0,34,-6,0,-0.284,0.899,-0.03,40,42,0,48,-0.142,0.024,0.189,51,-20,0.028,0.517,0.818,1.306,-0.46,-0.761,-1.249,0.9,-0.09,-0.029,-0.032,0.039,0.11,0.091,-0.037,1.5,1.1,-1.9,3,0.067,0.024,60,-8,0.48,0,-135,113,-135,0.325,0.05,0.6,-0.224,0.874,-0.499,1.149,-0.073,0.16,-0.012,-1.9,60,0,0.2,22,-0.05,48,51,94,43,14.1,0.36,83,57,57,43,-0.0003,-0.0014,0.12,3,49,0.8,0.8,1663,-443,-41,-57,19.7,-11,-125,0.011,0.639,1.289,-0.639,-1.267
568,8/4/2023 10:22,15855.5,15863,15855.5,15863,648,TRUE,TRUE,1,47811,17,22,-0.119,0.07,43,9.5,-0.245,0.11,0.11,0,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,51,48,1051,0,36,0,-0.095,-0.378,0.804,0.059,42,37,0,54,-0.236,-0.071,0.095,46,-1,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,0.7,-0.02,-0.113,-0.106,-0.035,0.036,0.023,-0.158,2.2,1.7,-1.2,2.9,-0.028,-0.07,53,0,0.45,0,88,89,-27,0.23,-0.045,0.504,-0.319,0.778,-0.594,1.053,-0.151,0.15,-0.008,-1.2,70,0.07,0.23,18,0,54,52,92,47,14.1,0.65,80,57,57,71,0.0004,-0.0005,0.065,8,54,0.8,0.8,1527,-383,-69,-29,18.7,51,-25,-0.084,0.544,1.193,-0.733,-1.36
569,8/4/2023 10:23,15863,15870.5,15863,15870.5,1628,TRUE,FALSE,2,49439,17,21,-0.155,0.034,43,9.4,-0.291,0.082,0.082,0.143,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,83,47,1337,0,34,18,-0.142,-0.425,0.756,0.098,45,35,0,55,-0.284,-0.118,0.047,46,6,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,0.7,0,-0.149,-0.134,-0.063,0.008,0.001,-0.211,2.6,2.8,-0.4,3.2,-0.072,-0.116,62,22,0.43,0,26,51,-35,0.181,-0.093,0.455,-0.367,0.729,-0.641,1.003,-0.184,0.16,-0.003,-0.4,70,0.07,0.3,15,0.14,56,54,91,49,14.8,0.78,78,67,67,86,0.0012,0.0004,0.05,15,57,0.9,0.7,1541,-374,7,-14,17.2,83,50,-0.131,0.496,1.145,-0.78,-1.407
570,8/4/2023 10:24,15870.5,15878,15870.5,15878,366,TRUE,FALSE,3,49805,17,20,-0.181,0.008,43,9.3,-0.33,0.06,0.06,0.286,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,108,43,1449,0,34,29,-0.189,-0.472,0.709,0.134,48,33,0,60,-0.331,-0.165,0,60,33,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,1,0.02,-0.182,-0.162,-0.091,-0.02,-0.019,-0.251,2.8,4.2,0.5,3.7,-0.115,-0.162,65,38,0.38,0,145,148,0,0.134,-0.14,0.408,-0.414,0.681,-0.687,0.955,-0.217,0.19,0.003,0.5,70,0,0.37,12,0.24,59,56,90,52,15.5,0.9,76,86,86,100,0.0021,0.0012,0.035,23,59,1.1,0.6,1384,-348,0,0,18.2,108,125,-0.178,0.449,1.097,-0.827,-1.453
571,8/4/2023 10:25,15878,15885.5,15878,15885.5,1896,TRUE,FALSE,4,51701,18,20,-0.199,-0.01,93,9.1,-0.356,0.039,0.039,0.429,-0.078,0.039,0.155,0.506,-0.312,-0.429,-0.546,-0.896,134,42,1966,0,29,41,-0.236,-0.519,0.661,0.168,51,31,0,66,-0.378,-0.189,0,76,32,-0.208,0.279,0.58,1.067,-0.695,-0.996,-1.482,1.4,0.04,-0.213,-0.19,-0.12,-0.049,-0.04,-0.277,2.9,5.8,1.6,4.3,-0.093,-0.18,76,52,0.4,0,72,112,-88,0.086,-0.187,0.359,-0.46,0.632,-0.733,0.905,-0.251,0.23,0.01,1.6,70,0.19,0.4,10,0.33,61,59,90,54,15.7,1,76,95,95,100,0.0032,0.0022,0.014,31,61,1.2,0.5,1452,-258,60,0,21.8,134,119,-0.225,0.401,1.05,-0.873,-1.5
572,8/4/2023 10:26,15878,15878,15870.5,15870.5,1954,FALSE,TRUE,1,49747,17,19,-0.093,0.096,93,9.5,-0.201,0.114,0.114,0.429,0.016,0.133,0.25,0.601,-0.218,-0.335,-0.452,-0.803,69,32,1378,0,36,33,-0.142,-0.425,0.756,0.068,45,33,0,53,-0.236,-0.071,0.095,63,21,-0.113,0.374,0.675,1.163,-0.601,-0.902,-1.389,1.3,-0.04,-0.118,-0.088,-0.017,0.054,0.039,-0.127,2,5.9,2.4,3.4,0.003,-0.083,72,45,0.29,0,-80,148,-90,0.18,-0.093,0.452,-0.366,0.725,-0.638,0.998,-0.137,0.25,0.015,2.4,60,0.53,0.37,26,0.28,54,57,92,51,12.5,0.52,76,90,90,71,0.004,0.0031,0.077,20,59,1.1,0.4,1519,-175,27,-29,25.9,69,35,-0.131,0.496,1.145,-0.78,-1.407
573,8/4/2023 10:27,15870.5,15870.5,15863,15863,1829,FALSE,FALSE,2,47918,17,19,-0.049,0.14,86,9.4,-0.122,0.149,0.149,0.286,0.063,0.18,0.297,0.649,-0.171,-0.288,-0.405,-0.756,9,22,430,0,39,18,-0.095,-0.378,0.804,0.019,43,37,0,51,-0.142,0,0.142,34,12,-0.066,0.421,0.723,1.21,-0.554,-0.855,-1.343,0.9,-0.06,-0.069,-0.043,0.028,0.099,0.065,-0.038,1.3,5.2,3,2.2,0.049,-0.034,64,22,0.18,0,-102,144,-112,0.226,-0.047,0.498,-0.319,0.771,-0.592,1.043,-0.071,0.24,0.019,3,50,0.34,0.27,30,0.14,51,54,91,49,10.8,0.26,75,74,74,50,0.0045,0.0038,0.089,9,57,1.1,0.6,1561,-192,79,-50,27,9,-58,-0.084,0.544,1.193,-0.733,-1.36
574,8/4/2023 10:30,15870.5,15878,15870.5,15878,4182,TRUE,TRUE,1,52100,16,19,-0.137,0.052,79,9.8,-0.195,0.06,0.06,0.286,-0.031,0.086,0.203,0.553,-0.265,-0.382,-0.499,-0.849,79,27,1333,0,49,22,-0.189,-0.472,0.709,0.105,44,33,0,56,-0.189,-0.071,0.047,34,12,-0.161,0.327,0.628,1.115,-0.648,-0.949,-1.436,0.9,0.02,-0.163,-0.137,-0.066,0.005,-0.024,-0.111,1.1,5.9,3.6,2.3,-0.035,-0.105,68,30,0.17,0,31,31,-250,0.129,-0.142,0.4,-0.413,0.671,-0.684,0.942,-0.148,0.24,0.023,3.6,50,0.3,0.13,25,0.19,57,55,91,51,10.1,0.66,77,67,67,80,0.0051,0.0044,-0.004,14,66,1,0.6,1910,-133,101,-20,27.6,79,30,-0.178,0.449,1.097,-0.827,-1.453
575,8/4/2023 10:31,15878,15885.5,15878,15885.5,1561,TRUE,FALSE,2,53661,17,19,-0.167,0.022,71,9.6,-0.234,0.032,0.032,0.286,-0.078,0.039,0.155,0.506,-0.312,-0.429,-0.546,-0.896,125,21,2078,0,49,22,-0.236,-0.519,0.661,0.14,47,31,0,59,-0.236,-0.118,0,56,16,-0.208,0.279,0.58,1.067,-0.695,-0.996,-1.482,1.1,0.05,-0.202,-0.173,-0.102,-0.031,-0.053,-0.15,1.2,6.9,4.2,2.7,-0.079,-0.15,68,30,0.28,0,143,145,-35,0.082,-0.189,0.352,-0.459,0.622,-0.73,0.893,-0.18,0.24,0.027,4.2,60,0.19,0.07,20,0.19,59,57,90,54,10.6,0.84,79,77,77,100,0.0057,0.005,-0.03,20,65,1,0.6,1864,-5,70,0,27.8,125,100,-0.225,0.401,1.05,-0.873,-1.5
576,8/4/2023 10:31,15885.5,15893,15885.5,15893,1641,TRUE,FALSE,3,55302,17,18,-0.189,0,64,9.5,-0.286,0.016,0.016,0.286,-0.125,-0.009,0.108,0.459,-0.359,-0.476,-0.593,-0.943,153,32,2716,0,42,22,-0.283,-0.566,0.613,0.173,50,29,0,63,-0.283,-0.142,0,77,20,-0.255,0.232,0.533,1.019,-0.742,-1.042,-1.529,1.5,0.07,-0.227,-0.2,-0.129,-0.058,-0.067,-0.202,1.6,8.2,5,3.2,-0.121,-0.196,67,30,0.34,0,285,285,-53,0.034,-0.236,0.304,-0.505,0.573,-0.775,0.843,-0.213,0.24,0.032,5,70,0.24,0.13,16,0.19,61,59,90,58,12,1,83,93,93,100,0.0064,0.0057,-0.036,27,65,1,0.6,1834,-73,93,0,27.5,153,114,-0.272,0.354,1.002,-0.92,-1.546
577,8/4/2023 10:32,15893,15900.5,15893,15900.5,1211,TRUE,FALSE,4,56513,18,18,-0.204,-0.016,71,9.3,-0.346,0.009,0.009,0.286,-0.173,-0.056,0.061,0.411,-0.406,-0.523,-0.64,-0.99,167,37,3116,0,36,22,-0.33,-0.613,0.566,0.203,53,28,0,67,-0.33,-0.165,0,89,24,-0.302,0.185,0.485,0.972,-0.788,-1.089,-1.575,1.9,0.07,-0.233,-0.217,-0.146,-0.075,-0.069,-0.268,2.4,9.8,6,3.8,-0.161,-0.241,68,30,0.46,0,95,95,-95,-0.013,-0.282,0.256,-0.551,0.525,-0.82,0.794,-0.239,0.24,0.038,6,80,0.38,0.3,13,0.19,64,61,90,61,14.1,1,85,100,100,100,0.0072,0.0065,-0.023,34,65,1,0.6,1751,-123,15,0,29.8,167,119,-0.319,0.307,0.954,-0.967,-1.593
578,8/4/2023 10:32,15900.5,15908,15900.5,15908,1237,TRUE,FALSE,5,57750,20,18,-0.215,-0.026,79,9.2,-0.411,0.007,0.007,0.286,-0.22,-0.103,0.014,0.364,-0.453,-0.57,-0.686,-1.036,167,48,3390,0,31,22,-0.377,-0.66,0.519,0.231,55,26,0,68,-0.377,-0.189,0,94,28,-0.349,0.137,0.438,0.924,-0.835,-1.136,-1.622,2.3,0.06,-0.242,-0.236,-0.165,-0.094,-0.057,-0.348,3.6,11.5,7.1,4.4,-0.199,-0.285,65,30,0.52,0,204,206,0,-0.06,-0.329,0.208,-0.597,0.477,-0.865,0.745,-0.257,0.24,0.045,7.1,80,0.62,0.47,11,0.19,66,64,92,64,16.6,1,86,100,100,100,0.0082,0.0074,0.011,41,65,1,0.6,1682,-41,19,0,35.1,167,110,-0.366,0.259,0.907,-1.014,-1.639
579,8/4/2023 10:34,15908,15915.5,15908,15915.5,4137,TRUE,FALSE,6,61887,21,19,-0.222,-0.033,86,9.1,-0.465,0.014,0.014,0.429,-0.267,-0.15,-0.033,0.317,-0.5,-0.617,-0.733,-1.083,158,58,4510,0,24,41,-0.424,-0.707,0.471,0.256,58,25,0,69,-0.424,-0.212,0,97,26,-0.396,0.09,0.39,0.877,-0.882,-1.182,-1.668,2.7,0.05,-0.251,-0.254,-0.184,-0.113,-0.051,-0.4,4.3,13.3,8.3,4.9,-0.135,-0.283,76,52,0.56,0,-203,72,-232,-0.106,-0.373,0.161,-0.64,0.428,-0.907,0.695,-0.268,0.28,0.052,8.3,80,0.95,0.57,9,0.33,68,66,94,67,19.1,1,87,100,100,100,0.0094,0.0084,0.029,47,79,1.2,0.5,2010,70,311,0,39.9,158,111,-0.413,0.212,0.859,-1.06,-1.685
580,8/4/2023 10:38,15915.5,15923,15915.5,15923,6727,TRUE,FALSE,7,68614,23,20,-0.227,-0.038,93,9,-0.504,0.019,0.019,0.571,-0.314,-0.197,-0.08,0.269,-0.547,-0.663,-0.78,-1.13,156,63,6698,0,20,53,-0.471,-0.754,0.424,0.28,61,23,1,71,-0.471,-0.236,0,99,22,-0.443,0.043,0.343,0.829,-0.929,-1.229,-1.715,3.2,0.05,-0.258,-0.273,-0.203,-0.132,-0.05,-0.435,4.7,15.1,9.7,5.4,-0.103,-0.273,82,68,0.62,0,-694,85,-769,-0.151,-0.415,0.114,-0.68,0.379,-0.945,0.644,-0.272,0.32,0.061,9.7,80,0.99,0.6,7,0.43,70,68,96,70,20.8,1,91,100,100,100,0.0106,0.0095,0.039,53,88,1.3,0.4,2639,492,429,0,44.3,156,111,-0.46,0.165,0.812,-1.107,-1.732
581,8/4/2023 10:39,15915.5,15915.5,15908,15908,2039,FALSE,TRUE,1,66575,24,21,-0.111,0.077,93,9.4,-0.36,0.117,0.117,0.571,-0.22,-0.103,0.014,0.364,-0.453,-0.57,-0.686,-1.036,95,55,6336,0,26,44,-0.377,-0.66,0.519,0.172,54,26,1,60,-0.33,-0.118,0.094,84,13,-0.349,0.137,0.438,0.924,-0.835,-1.136,-1.622,2.7,-0.05,-0.157,-0.162,-0.091,-0.02,0.05,-0.292,4.2,15.2,10.8,4.4,-0.007,-0.175,81,60,0.53,0,-242,23,-242,-0.056,-0.32,0.208,-0.585,0.473,-0.849,0.737,-0.129,0.35,0.068,10.8,70,0.82,0.57,24,0.38,62,65,97,63,19,0.57,95,93,93,78,0.0117,0.0106,0.129,39,72,1.2,0.3,2559,523,510,-22,45.8,95,33,-0.366,0.259,0.907,-1.014,-1.639
582,8/4/2023 10:40,15908,15908,15900.5,15900.5,1095,FALSE,FALSE,2,65480,24,21,-0.061,0.127,86,9.3,-0.28,0.166,0.166,0.429,-0.173,-0.056,0.061,0.411,-0.406,-0.523,-0.64,-0.99,54,49,5263,0,29,29,-0.33,-0.613,0.566,0.115,51,30,0,57,-0.236,-0.047,0.142,62,2,-0.302,0.185,0.485,0.972,-0.788,-1.089,-1.575,2.1,-0.09,-0.102,-0.096,-0.025,0.046,0.093,-0.208,3.7,14.5,11.5,3,0.039,-0.123,78,38,0.46,0,-213,0,-213,-0.009,-0.273,0.255,-0.537,0.52,-0.801,0.784,-0.042,0.34,0.073,11.5,70,0.38,0.5,28,0.24,58,61,96,57,17.7,0.37,95,80,80,62,0.0124,0.0115,0.162,25,62,1.2,0.5,2363,567,159,-38,44.6,54,-58,-0.319,0.307,0.954,-0.967,-1.593
583,8/4/2023 10:42,15900.5,15900.5,15893,15893,3785,FALSE,FALSE,3,61695,23,20,-0.026,0.163,79,9.1,-0.211,0.211,0.211,0.286,-0.125,-0.009,0.108,0.459,-0.359,-0.476,-0.593,-0.943,15,33,3142,0,29,18,-0.283,-0.566,0.613,0.063,48,34,0,54,-0.189,0,0.189,31,-1,-0.255,0.232,0.533,1.019,-0.742,-1.042,-1.529,1.3,-0.12,-0.051,-0.03,0.041,0.112,0.124,-0.124,3,13.2,11.8,1.3,0.084,-0.072,68,22,0.32,0,-300,127,-300,0.038,-0.225,0.301,-0.488,0.564,-0.751,0.827,0.189,0.32,0.075,11.8,70,0,0.43,23,0.14,55,58,91,52,16.8,0.19,91,63,63,50,0.0127,0.0121,0.181,13,54,1.1,0.6,2553,665,372,-50,40.9,15,-125,-0.272,0.354,1.002,-0.92,-1.546
584,8/4/2023 10:44,15900.5,15908,15900.5,15908,2892,TRUE,TRUE,1,64587,23,20,-0.12,0.068,50,9.6,-0.29,0.128,0.128,0.286,-0.22,-0.103,0.014,0.364,-0.453,-0.57,-0.686,-1.036,54,36,2908,0,31,22,-0.377,-0.66,0.519,0.145,48,31,0,60,-0.283,-0.094,0.094,20,2,-0.349,0.137,0.438,0.924,-0.835,-1.136,-1.622,0.9,-0.04,-0.135,-0.105,-0.035,0.036,0.04,-0.202,3,13.2,12.1,1.1,-0.011,-0.163,70,30,0.32,0,193,204,-75,-0.056,-0.317,0.206,-0.579,0.467,-0.841,0.729,0.091,0.3,0.076,12.1,70,0.07,0.4,19,0.19,60,59,86,55,16.6,0.46,86,62,62,75,0.0129,0.0125,0.096,17,58,1,0.6,2598,666,318,-25,37.2,54,-25,-0.366,0.259,0.907,-1.014,-1.639
585,8/4/2023 10:45,15908,15915.5,15908,15915.5,937,TRUE,FALSE,2,65524,23,20,-0.156,0.033,50,9.4,-0.33,0.101,0.101,0.286,-0.267,-0.15,-0.033,0.317,-0.5,-0.617,-0.733,-1.083,80,33,2847,0,31,22,-0.424,-0.707,0.471,0.177,51,29,0,60,-0.33,-0.141,0.047,26,13,-0.396,0.09,0.39,0.877,-0.882,-1.182,-1.668,0.8,-0.02,-0.169,-0.134,-0.063,0.008,0.018,-0.246,3.2,13.6,12.4,1.2,-0.057,-0.206,70,30,0.39,0,162,162,0,-0.103,-0.364,0.159,-0.625,0.42,-0.886,0.681,0.04,0.29,0.078,12.4,70,0.07,0.4,15,0.19,62,60,82,58,17.2,0.59,81,71,71,88,0.0131,0.0128,0.078,23,59,1,0.6,2377,605,312,-12,33.5,80,50,-0.413,0.212,0.859,-1.06,-1.685
586,8/4/2023 10:48,15908,15908,15900.5,15900.5,3433,FALSE,TRUE,1,62091,23,20,-0.063,0.126,50,9.8,-0.202,0.188,0.188,0.286,-0.173,-0.056,0.061,0.411,-0.406,-0.523,-0.64,-0.99,24,28,1470,0,31,22,-0.33,-0.613,0.566,0.077,45,31,0,55,-0.236,-0.047,0.142,13,8,-0.302,0.185,0.485,0.972,-0.788,-1.089,-1.575,0.5,-0.09,-0.074,-0.031,0.039,0.11,0.093,-0.106,2.4,12.7,12.5,0.2,0.037,-0.108,67,30,0.29,0,-449,6,-458,-0.008,-0.269,0.252,-0.529,0.512,-0.789,0.773,0.13,0.28,0.079,12.5,60,0.2,0.37,31,0.19,55,58,74,55,15.5,0.22,78,75,75,62,0.0131,0.0129,0.139,13,49,1,0.6,2518,451,29,-38,30.2,24,-30,-0.319,0.307,0.954,-0.967,-1.593
587,8/4/2023 10:53,15908,15915.5,15908,15915.5,5122,TRUE,TRUE,1,67213,23,21,-0.147,0.041,50,10.2,-0.231,0.076,0.076,0.429,-0.267,-0.15,-0.033,0.317,-0.5,-0.617,-0.733,-1.083,75,37,2403,0,38,37,-0.424,-0.707,0.471,0.158,46,28,0,60,-0.283,-0.118,0.047,19,8,-0.396,0.09,0.39,0.877,-0.882,-1.182,-1.668,0.5,0.01,-0.165,-0.116,-0.046,0.025,-0.008,-0.147,1.7,12.9,12.6,0.4,-0.041,-0.162,74,52,0.42,0,225,225,-302,-0.101,-0.36,0.157,-0.618,0.416,-0.877,0.674,0.032,0.3,0.079,12.6,60,0.01,0.3,25,0.33,60,59,70,57,12.2,0.36,75,79,79,86,0.0131,0.013,0.024,17,55,1.1,0.4,2865,609,19,-14,30,75,100,-0.413,0.212,0.859,-1.06,-1.685
